attack_neptune,attack_normal,attack_satan,count,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_same_srv_rate,dst_host_srv_count,flag_S0,flag_SF,last_flag,logged_in,same_srv_rate,serror_rate,service_http
0,1,0,18,0.056,0.536,0.424,5,0,0,PA,0,0.424,0.0,1
0,1,0,19,0.05555555555555555,0.5317460317460317,0.42857142857142855,5,0,0,A,0,0.42857142857142855,0.0,1
0,1,0,20,0.05511811023622047,0.5275590551181102,0.4330708661417323,5,0,0,A,0,0.4330708661417323,0.0,1
0,1,0,68,0.0546875,0.53125,0.4296875,5,0,0,A,0,0.4296875,0.0,0
0,1,0,69,0.05426356589147287,0.5348837209302325,0.4263565891472868,5,0,0,A,0,0.4263565891472868,0.0,0
0,1,0,70,0.05384615384615385,0.5384615384615384,0.4230769230769231,5,0,0,A,0,0.4230769230769231,0.0,0
0,1,0,71,0.05343511450381679,0.5419847328244275,0.4198473282442748,5,0,0,A,0,0.4198473282442748,0.0,0
0,1,0,72,0.05303030303030303,0.5454545454545454,0.4166666666666667,5,0,0,A,0,0.4166666666666667,0.0,0
0,1,0,73,0.05263157894736842,0.5488721804511278,0.41353383458646614,5,0,0,A,0,0.41353383458646614,0.0,0
0,1,0,74,0.05223880597014925,0.5522388059701493,0.41044776119402987,5,0,0,PA,0,0.41044776119402987,0.0,0
0,1,0,75,0.05185185185185185,0.5555555555555556,0.4074074074074074,5,0,0,PA,0,0.4074074074074074,0.0,0
0,1,0,21,0.051470588235294115,0.5514705882352942,0.4117647058823529,5,0,0,A,0,0.4117647058823529,0.0,1
0,1,0,76,0.051094890510948905,0.5547445255474452,0.40875912408759124,5,0,0,PA,0,0.40875912408759124,0.0,0
0,1,0,25,0.050724637681159424,0.5507246376811594,0.41304347826086957,5,0,0,PA,0,0.41304347826086957,0.0,1
0,1,0,77,0.050359712230215826,0.5539568345323741,0.41007194244604317,5,0,0,A,0,0.41007194244604317,0.0,0
0,1,0,78,0.05,0.5571428571428572,0.40714285714285714,5,0,0,PA,0,0.40714285714285714,0.0,0
0,1,0,22,0.04964539007092199,0.5531914893617021,0.41134751773049644,5,0,0,PA,0,0.41134751773049644,0.0,1
0,1,0,79,0.04929577464788732,0.5563380281690141,0.4084507042253521,5,0,0,A,0,0.4084507042253521,0.0,0
0,1,0,80,0.04895104895104895,0.5594405594405595,0.40559440559440557,5,0,0,PA,0,0.40559440559440557,0.0,0
0,1,0,26,0.04861111111111111,0.5555555555555556,0.4097222222222222,5,0,0,PA,0,0.4097222222222222,0.0,1
0,1,0,81,0.04827586206896552,0.5586206896551724,0.4068965517241379,5,0,0,A,0,0.4068965517241379,0.0,0
0,1,0,82,0.04794520547945205,0.5616438356164384,0.4041095890410959,5,0,0,PA,0,0.4041095890410959,0.0,0
0,1,0,27,0.047619047619047616,0.5578231292517006,0.40816326530612246,5,0,0,PA,0,0.40816326530612246,0.0,1
0,1,0,83,0.0472972972972973,0.5608108108108109,0.40540540540540543,5,0,0,A,0,0.40540540540540543,0.0,0
0,1,0,84,0.04697986577181208,0.5637583892617449,0.40268456375838924,5,0,0,PA,0,0.40268456375838924,0.0,0
0,1,0,28,0.04666666666666667,0.56,0.4066666666666667,5,0,0,PA,0,0.4066666666666667,0.0,1
0,1,0,85,0.046357615894039736,0.5629139072847682,0.40397350993377484,5,0,0,A,0,0.40397350993377484,0.0,0
